date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:46	1475/1475	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jun%202026%2014:05:46%20GMT	https://www.serombadentals.com/robots.txt		(from )
17:05:47	95181/95181	---MCZ	200	added ('OK')	text/html	etag:W/%22d69e39cf1631c87e40e504dfc08ad8e4%22	https://www.serombadentals.com/	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/index.html	(from )
17:05:48	84029/84029	---M--	200	added ('OK')	image/png	etag:%2224dd5b792e227a1a5bd3eb919f52525f%22	https://www.serombadentals.com/logo.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/logo.png	(from https://www.serombadentals.com/)
17:05:48	102025/102025	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2017:46:59%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.serombadentals.com/)
17:05:49	3295/3295	---MCZ	200	added ('OK')	text/css	etag:W/%22704bcc4a8ab13a2f6312058f6002e706%22	https://www.serombadentals.com/responsive.css	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/responsive.css	(from https://www.serombadentals.com/)
17:05:50	1662698/1662698	---M--	200	added ('OK')	image/png	etag:%22f7665ca17c21b2d5b873e3eb5190f4b3%22	https://www.serombadentals.com/hero-seromba-dentals-nairobi-cbd.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/hero-seromba-dentals-nairobi-cbd.png	(from https://www.serombadentals.com/)
17:05:51	16922/16922	---MCZ	200	added ('OK')	text/html	etag:W/%2275271896c241731508554a740d8ea8c3%22	https://www.serombadentals.com/calendar	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/calendar	(from https://www.serombadentals.com/)
17:05:51	55551/55551	---M--	200	added ('OK')	image/jpeg	etag:%221fd00ec0227d7711aa8cf1c3573321e8%22	https://www.serombadentals.com/about3.jpg	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/about3.jpg	(from https://www.serombadentals.com/)
17:05:52	90880/90880	---M--	200	added ('OK')	image/png	etag:%22d76a1fe4478e8d6e33393ad7fc6cabc6%22	https://www.serombadentals.com/about1.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/about1.png	(from https://www.serombadentals.com/)
17:05:52	57030/57030	---M--	200	added ('OK')	image/png	etag:%227cdd6bea3c6aa0f5f52ec0075002a33d%22	https://www.serombadentals.com/about2.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/about2.png	(from https://www.serombadentals.com/)
17:05:54	1946335/1946335	---M--	200	added ('OK')	image/png	etag:%22bd8be6c911f8e788927a2d5ce176c73d%22	https://www.serombadentals.com/service-teeth-whitening-nairobi-unique.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-teeth-whitening-nairobi-unique.png	(from https://www.serombadentals.com/)
17:05:54	29263/29263	---MCZ	200	added ('OK')	text/html	etag:W/%22a910642764ee1ab7d3e8df4f5df2fb1e%22	https://www.serombadentals.com/teeth-whitening	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/teeth-whitening	(from https://www.serombadentals.com/)
17:05:55	1956025/1956025	---M--	200	added ('OK')	image/png	etag:%22284da4a00ca38f34587eb22a72669e01%22	https://www.serombadentals.com/service-dental-implants-nairobi-unique.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-dental-implants-nairobi-unique.png	(from https://www.serombadentals.com/)
17:05:55	33041/33041	---MCZ	200	added ('OK')	text/html	etag:W/%22716556b5ac730676c5eb81bb92650686%22	https://www.serombadentals.com/dental-implants	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/dental-implants	(from https://www.serombadentals.com/)
17:05:56	1803104/1803104	---M--	200	added ('OK')	image/png	etag:%22a237de325401635a75c279371d38fcae%22	https://www.serombadentals.com/service-surgical-implant-placement-nairobi.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-surgical-implant-placement-nairobi.png	(from https://www.serombadentals.com/)
17:05:57	22427/22427	---MCZ	200	added ('OK')	text/html	etag:W/%22253c7cb742076a04c6bfcbf424683fd5%22	https://www.serombadentals.com/surgical-implant-placement	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/surgical-implant-placement	(from https://www.serombadentals.com/)
17:05:58	1981898/1981898	---M--	200	added ('OK')	image/png	etag:%22d1fa0464fa35b551a8fea1b69d864cc3%22	https://www.serombadentals.com/service-orthodontics-braces-nairobi-unique.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-orthodontics-braces-nairobi-unique.png	(from https://www.serombadentals.com/)
17:05:58	33240/33240	---MCZ	200	added ('OK')	text/html	etag:W/%227cd5d62d3ee6b904ae8533236f8275fe%22	https://www.serombadentals.com/orthodontics	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/orthodontics	(from https://www.serombadentals.com/)
17:05:59	1905838/1905838	---M--	200	added ('OK')	image/png	etag:%2224d8d5f0763899cf535b18b5a9a09e1b%22	https://www.serombadentals.com/service-cosmetic-dentistry-nairobi.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-cosmetic-dentistry-nairobi.png	(from https://www.serombadentals.com/)
17:06:00	23194/23194	---MCZ	200	added ('OK')	text/html	etag:W/%2208b2e761a303ede4c84c4747cb231310%22	https://www.serombadentals.com/cosmetic-dentistry	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/cosmetic-dentistry	(from https://www.serombadentals.com/)
17:06:00	1750640/1750640	---M--	200	added ('OK')	image/png	etag:%22cf528db82ce3f21c401007f33394bc01%22	https://www.serombadentals.com/service-periodontal-care-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-periodontal-care-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:01	31787/31787	---MCZ	200	added ('OK')	text/html	etag:W/%22277912a5ee75b1ad6e3e9442c70e78c6%22	https://www.serombadentals.com/periodontal-care	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/periodontal-care	(from https://www.serombadentals.com/)
17:06:02	1683394/1683394	---M--	200	added ('OK')	image/png	etag:%226e9d6e1eb3a290c018df06f737ff4dde%22	https://www.serombadentals.com/service-dental-examinations-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-dental-examinations-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:02	26995/26995	---MCZ	200	added ('OK')	text/html	etag:W/%22931be08d0cbe11912366764c7cc86060%22	https://www.serombadentals.com/dental-examinations	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/dental-examinations	(from https://www.serombadentals.com/)
17:06:03	1771673/1771673	---M--	200	added ('OK')	image/png	etag:%22827bcbe0838f14472bd3e55787d80944%22	https://www.serombadentals.com/service-dental-x-rays-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-dental-x-rays-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:04	27749/27749	---MCZ	200	added ('OK')	text/html	etag:W/%22d6430a9aacd03238c450dc49bbfa8853%22	https://www.serombadentals.com/dental-x-rays	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/dental-x-rays	(from https://www.serombadentals.com/)
17:06:05	1796587/1796587	---M--	200	added ('OK')	image/png	etag:%224d922bcb299255f6ae389b4236ee83b7%22	https://www.serombadentals.com/service-root-canal-treatment-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-root-canal-treatment-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:05	22913/22913	---MCZ	200	added ('OK')	text/html	etag:W/%222b252c5014e6bb319ea72894d18bd3af%22	https://www.serombadentals.com/root-canal-treatment	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/root-canal-treatment	(from https://www.serombadentals.com/)
17:06:06	1740026/1740026	---M--	200	added ('OK')	image/png	etag:%221c8161ccb0e34f164e9906823d05ecfe%22	https://www.serombadentals.com/service-fillings-extractions-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-fillings-extractions-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:07	21872/21872	---MCZ	200	added ('OK')	text/html	etag:W/%22da3f7d09feedeeb445dc0207bdbe1eb1%22	https://www.serombadentals.com/dental-fillings-extractions	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/dental-fillings-extractions	(from https://www.serombadentals.com/)
17:06:07	1734681/1734681	---M--	200	added ('OK')	image/png	etag:%22f64541534b0af2db710c710155ef9ba8%22	https://www.serombadentals.com/service-crowns-bridgework-nairobi-graphic.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-crowns-bridgework-nairobi-graphic.png	(from https://www.serombadentals.com/)
17:06:08	24115/24115	---MCZ	200	added ('OK')	text/html	etag:W/%22f924c746e6eeef6b7f37d4684a91def5%22	https://www.serombadentals.com/dental-crowns-bridgework	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/dental-crowns-bridgework	(from https://www.serombadentals.com/)
17:06:09	2066135/2066135	---M--	200	added ('OK')	image/png	etag:%2216a6eb9a68e8bde5b74af617fa7ec19d%22	https://www.serombadentals.com/service-dentures-nairobi.png	C:/My%20Web%20Sites/Deep%20Care%20Dental%20Clinic/www.serombadentals.com/service-dentures-nairobi.png	(from https://www.serombadentals.com/)
